单词,次数
buttom,1
saidbe,1
herthen,1
hercome,1
onhelp,1
getting,1
difficult,1
everythingperhaps,1
four,1
handeverybody,1
mouth,1
updont,1
ithe,1
indiathey,1
interestingthey,1
questions,1
leave,1
familyand,1
answeredyour,1
life,1
visit,1
coathe,1
midnightin,1
talked,1
saidwhat,1
kitchen,1
werent,1
herbertmrs,1
welli,1
quietlyperhaps,1
husbanddid,1
askedwe,1
angry,1
wellyesher,1
wellhe,1
itherbert,1
laughedits,1
rich,1
happycome,1
fathermake,1
pocketokherbert,1
am,1
everythingyou,1
courseherbert,1
quicklywe,1
thinking,1
cause,1
havent,1
pay,1
pawit,1
floor,1
mans,1
edbut,1
feel,1
welltheres,1
moneyfather,1
truebut,1
husbandare,1
yesyes,1
answeredbut,1
smoked,1
saidwellfatherim,1
bag,1
under,1
bedgood,1
fatherand,1
through,1
daythe,1
near,1
shops,1
dinnerare,1
read,1
eveningherbert,1
saidso,1
early,1
tonightwe,1
pawsmrs,1
angrywhy,1
husbanda,1
thingsshe,1
herthirty,1
quietlywe,1
clock,1
upim,1
postman,1
letterremember,1
tooherbert,1
saidtom,1
thinks,1
wellleave,1
happilyget,1
shopsim,1
hungry,1
walked,1
househer,1
matterhe,1
nothinghis,1
answeredand,1
husbandyour,1
post,1
arrived,1
brought,1
letters,1
thembut,1
oclock,1
eat,1
often,1
poundsmrs,1
answeredlets,1
forget,1
nightperhaps,1
movemrs,1
movedmr,1
angrily,1
answerbut,1
theres,1
strangervery,1
talland,1
houseohnoits,1
okhes,1
eatingmr,1
husbandhe,1
onhes,1
himhes,1
welldressedsuddenly,1
excitedhes,1
bringing,1
tall,1
begangood,1
afternoon,1
wellim,1
answeredwhat,1
saidmrs,1
yesof,1
coursemrs,1
onim,1
thoughtperhaps,1
why,1
megginsand,1
whysuddenly,1
mattershe,1
criedis,1
herbertshe,1
question,1
facesand,1
againim,1
gain,1
hospital,1
criedoh,1
pleasenot,1
strangers,1
knew,1
arm,1
round,1
machineryan,1
himand,1
quicklybut,1
saidour,1
saidhe,1
loved,1
strangercan,1
himcan,1
quicklyno,1
outhe,1
",",1
faces,1
againtheres,1
saidyour,1
six,1
worker,1
timeagain,1
stoppedafter,1
againmaw,1
afraidhow,1
laterin,1
bignew,1
miles,1
housethe,1
sonthen,1
darkold,1
live,1
themthe,1
thenone,1
nightabout,1
week,1
latermrs,1
calledcome,1
colder,1
sonhis,1
mattermr,1
criedhe,1
bedwhats,1
thoughtwhy,1
ex,1
cited,1
darki,1
itshe,1
youve,1
saidwhere,1
answeredwhy,1
crywe,1
onebut,1
ohnonot,1
mad,1
againthink,1
show,1
thinkdo,1
body,1
understand,1
across,1
touched,1
thoughti,1
canti,1
faceafter,1
wifeand,1
criedquick,1
cantmr,1
rememberhe,1
own,1
sonmrs,1
slowlyi,1
usthen,1
nearest,1
stayed,1
godmr,1
doorhe,1
stoppedand,1
movethen,1
ranhe,1
upstairsback,1
closed,1
behind,1
listenedand,1
againits,1
criedim,1
bedroommr,1
criedthink,1
nodont,1
godonther,1
roomim,1
herstophe,1
criedremember,1
machineryyou,1
run,1
movethe,1
thoughtwheres,1
bedroomquickhe,1
where,1
itat,1
find,1
darkah,1
same,1
afraidold,1
quietand,1
