单词,次数
bessit,1
jamess,1
fatheri,1
thatyour,1
majestybut,1
ithe,1
hears,1
storywhy,1
tiredall,1
bessshe,1
meyes,1
happen,1
lifeso,1
dear,1
godbefore,1
everything,1
truei,1
impor,1
tant,1
french,1
frances,1
younger,1
brother,1
bur,1
youngand,1
thenin,1
diedhe,1
sixteen,1
different,1
still,1
girl,1
shipand,1
catholicyou,1
hope,1
angrily,1
streetsyour,1
majestysaid,1
lordsscotland,1
scottish,1
queenno,1
tells,1
doi,1
protestantsand,1
churches,1
john,1
clotheshe,1
hated,1
husbandgirl,1
quietlyhe,1
books,1
herso,1
spaindon,1
carlos,1
myself,1
family,1
elizabethwe,1
meetinga,1
meeting,1
sister,1
queenselizabeth,1
countries,1
friendsyou,1
friendwhy,1
dudleythe,1
leicesterhe,1
tallstrong,1
letterthere,1
dudleythey,1
sometimespeople,1
accidentshe,1
writes,1
friendher,1
loverperhapsshe,1
lover,1
nineteen,1
twentythreehe,1
green,1
wore,1
expensive,1
thought,1
toowe,1
cousinshis,1
grandfather,1
greatgrandfather,1
vii,1
july,1
marriage,1
englandbut,1
happyyour,1
laughter,1
hundreds,1
thingsi,1
thingsevery,1
nowi,1
thoughti,1
saidwould,1
unhappyim,1
thathe,1
noti,1
saidyoure,1
lovebut,1
days,1
workand,1
ride,1
drink,1
swim,1
fights,1
anythingbecause,1
pregnantyou,1
alive,1
tooone,1
italian,1
interesting,1
tooand,1
evenings,1
muchand,1
firstyour,1
ricciodavid,1
nightthey,1
fathershe,1
laughs,1
dances,1
lordit,1
scotsman,1
thingstooi,1
knowa,1
meso,1
himyour,1
workhe,1
friendsand,1
saturday,1
march,1
seven,1
dinner,1
table,1
warm,1
darnleymy,1
thank,1
youhe,1
hungrybut,1
move,1
chair,1
methen,1
round,1
laughedare,1
really,1
second,1
ruthvenstood,1
af,1
majestysend,1
afraidwhyi,1
manruthven,1
saidsend,1
noi,1
stays,1
womanlord,1
henryhold,1
movedavid,1
angrilybut,1
backhe,1
angrilydont,1
touch,1
knives,1
hit,1
pulled,1
screamedhelp,1
queenpleasetheyre,1
medontaaaaaargh,1
armsbut,1
hear,1
riccios,1
screams,1
doingi,1
angrilyriccio,1
manwhy,1
doing,1
laughedyou,1
marynot,1
riccioshe,1
saidso,1
eveningyou,1
drinking,1
